"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,50152.476571,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,50758.582318,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,53118.792237,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,52921.968891,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,56000.130076,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,62745.388207,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,69418.944207,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,52665.087457,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,54188.360666,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,56956.110562,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,59716.251399,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,57235.673886,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,59857.431692,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,67792.406005,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,48597.487117,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,50442.060625,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,52530.381806,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,55804.725289,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,54652.164337,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,59479.895839,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,65509.386133,"P","Provisional value"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,46472.368771,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,48317.191163,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,49992.811418,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,49832.414539,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,47226.357276,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,53023.405782,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,58347.676945,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,36101.285601,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,38842.896268,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,41157.370409,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,44223.295751,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,42817.867499,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,44813.002627,,
"CZE","Czechia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,49122.317085,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,51967.020438,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,55356.49009,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,57479.350221,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,59884.11738,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,60768.060489,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,66117.728509,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,74859.416551,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,44934.488245,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,47570.270354,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,49573.255773,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,51811.599332,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,52294.342491,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,54773.513718,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,59461.616223,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,42855.944562,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,44444.934559,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,46336.933985,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,50226.680167,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,47982.359606,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,51023.082095,"P","Provisional value"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,54988.881441,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,50579.483717,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,53071.478374,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,55195.722049,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,57411.520685,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,56454.181109,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,59055.316879,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,63521.899276,"P","Provisional value"
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,27511.803202,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,28604.829152,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,29617.518625,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,31155.301081,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,28349.491127,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,31267.149353,"P","Provisional value"
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,36574.04193,"P","Provisional value"
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,29737.53009,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,30147.015977,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,31374.187996,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,33459.324263,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,32912.709886,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,34547.086573,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,37067.28435,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,37333.06491,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,39601.479631,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,40776.768298,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,43135.741954,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,38030.728528,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,41255.752458,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,46490.547319,"P","Provisional value"
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,67350.735189,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,68193.502958,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,70688.84449,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,72668.72555,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,71010.450577,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,77181.355797,"P","Provisional value"
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,84593.018629,"P","Provisional value"
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,44057.689096,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,46061.354379,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,47107.7092,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,49220.202708,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,45756.801675,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,50361.491742,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,54265.752346,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,13439.508987,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,14203.909059,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,15466.329982,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,16624.52398,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,17176.865661,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,19429.069638,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,21314.467779,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,14514.224389,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,14930.865719,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,15814.696386,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,16484.762795,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,15614.989482,"P","Provisional value"
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,17644.507027,"P","Provisional value"
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,20822.147787,"E","Estimated value"
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,44452.917124,,
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,46539.146424,,
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,48302.585575,,
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,50912.721833,"P","Provisional value"
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,48660.5082,"P","Provisional value"
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,52397.603276,"P","Provisional value"
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,57408.513823,"P","Provisional value"
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,31607.610185,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,33044.70015,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,34928.61899,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,37299.182306,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,34955.61156,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,36971.269095,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,42313.130693,"P","Provisional value"
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,27830.927735,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,29609.446369,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,31662.210541,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,34592.873746,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,34896.8226,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,37825.969449,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,42961.752668,"B","Break"
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,39575.302078,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,40957.347064,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,43044.340145,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,43410.152957,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,44694.939796,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,47068.423631,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,50330.65223,"P","Provisional value"
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,40267.222623,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,41951.466331,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,43427.663143,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,45799.741922,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,43150.115981,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,47591.832142,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,52802.956093,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,31310.152103,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,33867.803542,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,36488.637421,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,39068.367072,,
