LOCATION,Country,Life Satisfaction,GDP per capita
AUS,Australia,7.1,69418.944207
AUT,Austria,7.2,67792.406005
BEL,Belgium,6.8,65509.386133
CAN,Canada,7.0,58347.676945
CZE,Czechia,6.9,49122.317085
DNK,Denmark,7.5,74859.416551
FIN,Finland,7.9,59461.616223
FRA,France,6.7,54988.881441
DEU,Germany,7.3,63521.899276
GRC,Greece,5.8,36574.04193
HUN,Hungary,6.0,41565.507721
ISL,Iceland,7.6,69616.051554
IRL,Ireland,7.0,127146.265184
ITA,Italy,6.5,52802.956093
JPN,Japan,6.1,45648.781715
KOR,Korea,5.8,50330.65223
LUX,Luxembourg,7.4,140150.398233
MEX,Mexico,6.0,21442.194064
NLD,Netherlands,7.5,70861.366489
NZL,New Zealand,7.3,51635.654488
NOR,Norway,7.3,114932.192428
POL,Poland,6.1,42961.752668
PRT,Portugal,5.8,42313.130693
SVK,Slovak Republic,6.5,37067.28435
ESP,Spain,6.5,46490.547319
SWE,Sweden,7.3,65156.950747
CHE,Switzerland,7.5,84593.018629
TUR,TÃ¼rkiye,4.9,37299.591132
GBR,United Kingdom,6.8,54265.752346
USA,United States,7.0,76291.024903
CHL,Chile,6.2,29866.277169
EST,Estonia,6.5,47152.179753
ISR,Israel,7.2,49788.625702
SVN,Slovenia,6.5,48361.944853
ZAF,South Africa,4.9,15953.4746
OECD,OECD - Total,6.7,54052.623879
COL,Colombia,5.7,20822.147787
